name,category,NORAD ID,Int'l Code,Perigee,Apogee,Inclination,Period,Semi major axis,RCS,Launch date,Source,Launch site
FLOCK 2K 39,Flock,42866,2017-042AT,442.2 km,457.6 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 37,Flock,42867,2017-042AU,442.1 km,457.6 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 38,Flock,42868,2017-042AV,438.1 km,453.1 km,96.9 &deg,93.3 minutes,6816 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 31,Flock,42869,2017-042AW,442.1 km,457.6 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 32,Flock,42870,2017-042AX,442.1 km,457.5 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 29,Flock,42871,2017-042AY,442.0 km,457.7 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 30,Flock,42872,2017-042AZ,442.0 km,457.7 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 44,Flock,42873,2017-042BA,441.6 km,458.1 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 43,Flock,42874,2017-042BB,453.0 km,472.1 km,96.9 &deg,93.7 minutes,6833 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 41,Flock,42875,2017-042BC,441.2 km,458.4 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 36,Flock,42876,2017-042BD,435.4 km,451.8 km,96.9 &deg,93.3 minutes,6814 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 35,Flock,42877,2017-042BE,441.3 km,458.3 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 34,Flock,42878,2017-042BF,437.6 km,453.8 km,96.9 &deg,93.4 minutes,6816 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 33,Flock,42879,2017-042BG,429.6 km,445.0 km,96.9 &deg,93.2 minutes,6808 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 28,Flock,42880,2017-042BH,449.5 km,468.0 km,96.9 &deg,93.6 minutes,6829 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 27,Flock,42882,2017-042BK,434.3 km,450.6 km,96.9 &deg,93.3 minutes,6813 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 26,Flock,42883,2017-042BL,435.8 km,452.5 km,96.9 &deg,93.3 minutes,6815 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 25,Flock,42884,2017-042BM,441.3 km,458.4 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 20,Flock,42885,2017-042BN,436.7 km,453.7 km,96.9 &deg,93.3 minutes,6816 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 19,Flock,42886,2017-042BP,441.0 km,458.7 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 18,Flock,42887,2017-042BQ,440.9 km,458.7 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 17,Flock,42888,2017-042BR,435.5 km,452.0 km,96.9 &deg,93.3 minutes,6814 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 16,Flock,42889,2017-042BS,441.2 km,458.4 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 15,Flock,42890,2017-042BT,441.0 km,458.6 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 13,Flock,42891,2017-042BU,433.0 km,449.3 km,96.9 &deg,93.3 minutes,6812 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 14,Flock,42892,2017-042BV,436.3 km,453.1 km,96.9 &deg,93.3 minutes,6815 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 12,Flock,42893,2017-042BW,441.1 km,458.7 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 11,Flock,42894,2017-042BX,441.2 km,458.5 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 10,Flock,42895,2017-042BY,441.0 km,458.6 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 09,Flock,42896,2017-042BZ,438.1 km,455.1 km,96.9 &deg,93.4 minutes,6817 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 2K 06,Flock,42897,2017-042CA,442.0 km,457.6 km,96.9 &deg,93.4 minutes,6820 km,Unknown,2017,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FLOCK 3M 1,Flock,42995,2017-068J,498.2 km,519.3 km,97.4 &deg,94.6 minutes,6879 km,Unknown,2017,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
FLOCK 3M 3,Flock,42996,2017-068K,498.0 km,518.0 km,97.4 &deg,94.6 minutes,6879 km,Unknown,2017,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
FLOCK 3M 4,Flock,42997,2017-068L,499.3 km,519.3 km,97.4 &deg,94.7 minutes,6880 km,Unknown,2017,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
FLOCK 3PP 3,Flock,43119,2018-004J,495.4 km,510.4 km,97.5 &deg,94.5 minutes,6873 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3M 2,Flock,42998,2017-068M,500.2 km,518.4 km,97.4 &deg,94.7 minutes,6880 km,Unknown,2017,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
FLOCK 3PP 2,Flock,43120,2018-004K,496.0 km,510.9 km,97.5 &deg,94.5 minutes,6874 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3PP 1,Flock,43121,2018-004L,492.0 km,506.6 km,97.5 &deg,94.5 minutes,6870 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3PP 4,Flock,43122,2018-004M,496.1 km,510.8 km,97.5 &deg,94.5 minutes,6874 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3R 9,Flock,43723,2018-096E,475.9 km,497.7 km,97.4 &deg,94.2 minutes,6857 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3R 12,Flock,43724,2018-096F,476.1 km,497.6 km,97.4 &deg,94.2 minutes,6857 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3R 11,Flock,43725,2018-096G,476.0 km,497.6 km,97.4 &deg,94.2 minutes,6857 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3R 5,Flock,43726,2018-096H,475.9 km,497.8 km,97.4 &deg,94.2 minutes,6857 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3R 8,Flock,43727,2018-096J,475.7 km,497.9 km,97.4 &deg,94.2 minutes,6857 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3R 4,Flock,43733,2018-096Q,473.9 km,499.8 km,97.4 &deg,94.2 minutes,6857 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3R 3,Flock,43734,2018-096R,473.5 km,500.1 km,97.4 &deg,94.2 minutes,6857 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3R 16,Flock,43735,2018-096S,472.4 km,499.5 km,97.4 &deg,94.2 minutes,6856 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3R 15,Flock,43736,2018-096T,474.5 km,502.0 km,97.4 &deg,94.2 minutes,6859 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3R 10,Flock,43740,2018-096X,476.1 km,497.5 km,97.4 &deg,94.2 minutes,6857 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3R 6,Flock,43741,2018-096Y,475.5 km,498.1 km,97.4 &deg,94.2 minutes,6857 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3R 7,Flock,43742,2018-096Z,475.8 km,497.9 km,97.4 &deg,94.2 minutes,6857 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3R 1,Flock,43747,2018-096AE,473.6 km,500.0 km,97.4 &deg,94.2 minutes,6857 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3R 2,Flock,43748,2018-096AF,472.3 km,498.1 km,97.4 &deg,94.2 minutes,6856 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3R 14,Flock,43749,2018-096AG,470.4 km,496.7 km,97.4 &deg,94.1 minutes,6854 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3R 13,Flock,43750,2018-096AH,471.0 km,497.5 km,97.4 &deg,94.1 minutes,6855 km,Unknown,2018,United States (US),SRIHARIKOTA (SRI)
FLOCK 3S 1,Flock,43769,2018-099M,580.8 km,598.6 km,97.7 &deg,96.3 minutes,6960 km,Unknown,2018,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
FLOCK 3S 3,Flock,43788,2018-099AG,578.9 km,597.7 km,97.7 &deg,96.3 minutes,6959 km,Unknown,2018,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
FLOCK 3S 2,Flock,43821,2018-099BR,578.9 km,596.5 km,97.7 &deg,96.3 minutes,6958 km,Unknown,2018,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
FLOCK 3K 3,Flock,43892,2018-111S,481.6 km,511.0 km,97.3 &deg,94.4 minutes,6867 km,Unknown,2018,United States (US),VOSTOCHNY COSMODROME (VOSTO)
FLOCK 3K 4,Flock,43893,2018-111T,481.7 km,510.8 km,97.3 &deg,94.4 minutes,6867 km,Unknown,2018,United States (US),VOSTOCHNY COSMODROME (VOSTO)
FLOCK 3K 1,Flock,43894,2018-111U,481.6 km,510.8 km,97.3 &deg,94.4 minutes,6867 km,Unknown,2018,United States (US),VOSTOCHNY COSMODROME (VOSTO)
FLOCK 3K 2,Flock,43895,2018-111V,481.4 km,510.9 km,97.3 &deg,94.4 minutes,6867 km,Unknown,2018,United States (US),VOSTOCHNY COSMODROME (VOSTO)
FLOCK 3K 6,Flock,43896,2018-111W,482.6 km,509.6 km,97.3 &deg,94.4 minutes,6867 km,Unknown,2018,United States (US),VOSTOCHNY COSMODROME (VOSTO)
FLOCK 3K 5,Flock,43899,2018-111Z,482.4 km,509.8 km,97.3 &deg,94.4 minutes,6867 km,Unknown,2018,United States (US),VOSTOCHNY COSMODROME (VOSTO)
FLOCK 3K 8,Flock,43901,2018-111AB,482.4 km,509.8 km,97.3 &deg,94.4 minutes,6867 km,Unknown,2018,United States (US),VOSTOCHNY COSMODROME (VOSTO)
FLOCK 3K 7,Flock,43902,2018-111AC,482.2 km,510.0 km,97.3 &deg,94.4 minutes,6867 km,Unknown,2018,United States (US),VOSTOCHNY COSMODROME (VOSTO)
FLOCK 3K 12,Flock,43903,2018-111AD,482.6 km,509.6 km,97.3 &deg,94.4 minutes,6867 km,Unknown,2018,United States (US),VOSTOCHNY COSMODROME (VOSTO)
FLOCK 3K 11,Flock,43904,2018-111AE,482.8 km,510.0 km,97.3 &deg,94.4 minutes,6867 km,Unknown,2018,United States (US),VOSTOCHNY COSMODROME (VOSTO)
FLOCK 3K 10,Flock,43905,2018-111AF,482.9 km,509.8 km,97.3 &deg,94.4 minutes,6867 km,Unknown,2018,United States (US),VOSTOCHNY COSMODROME (VOSTO)
FLOCK 3K 9,Flock,43906,2018-111AG,482.5 km,509.7 km,97.3 &deg,94.4 minutes,6867 km,Unknown,2018,United States (US),VOSTOCHNY COSMODROME (VOSTO)
FLOCK 4A 1,Flock,44079,2019-018B,497.1 km,511.9 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 2,Flock,44080,2019-018C,497.5 km,512.6 km,97.4 &deg,94.6 minutes,6876 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 3,Flock,44081,2019-018D,497.2 km,512.4 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 4,Flock,44082,2019-018E,497.0 km,512.4 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 17,Flock,44088,2019-018L,496.3 km,512.4 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 19,Flock,44090,2019-018N,496.1 km,512.3 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 18,Flock,44089,2019-018M,496.3 km,512.5 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 20,Flock,44091,2019-018P,496.0 km,512.3 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 8,Flock,44092,2019-018Q,497.8 km,510.5 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 7,Flock,44093,2019-018R,498.0 km,510.8 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 6,Flock,44094,2019-018S,498.1 km,510.9 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 5,Flock,44095,2019-018T,497.6 km,510.7 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 11,Flock,44096,2019-018U,497.7 km,510.8 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 10,Flock,44097,2019-018V,497.5 km,510.9 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 9,Flock,44098,2019-018W,497.5 km,511.0 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 16,Flock,44099,2019-018X,497.4 km,511.1 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 15,Flock,44100,2019-018Y,497.1 km,511.0 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 14,Flock,44101,2019-018Z,496.3 km,510.1 km,97.4 &deg,94.5 minutes,6874 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 13,Flock,44102,2019-018AA,496.9 km,511.6 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4A 12,Flock,44108,2019-018AE,497.8 km,510.7 km,97.4 &deg,94.6 minutes,6875 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4P 9,Flock,44807,2019-081D,504.2 km,523.7 km,97.5 &deg,94.8 minutes,6884 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4P 10,Flock,44808,2019-081E,504.3 km,523.5 km,97.5 &deg,94.8 minutes,6884 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4P 11,Flock,44809,2019-081F,504.1 km,523.4 km,97.5 &deg,94.8 minutes,6884 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4P 12,Flock,44810,2019-081G,504.2 km,523.1 km,97.5 &deg,94.8 minutes,6884 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4P 4,Flock,44811,2019-081H,504.8 km,522.0 km,97.5 &deg,94.7 minutes,6884 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4P 3,Flock,44812,2019-081J,504.8 km,521.8 km,97.5 &deg,94.7 minutes,6884 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4P 2,Flock,44813,2019-081K,505.3 km,522.1 km,97.5 &deg,94.8 minutes,6884 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4P 1,Flock,44814,2019-081L,505.3 km,521.9 km,97.5 &deg,94.8 minutes,6884 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4P 8,Flock,44815,2019-081M,505.3 km,521.4 km,97.5 &deg,94.7 minutes,6884 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4P 7,Flock,44816,2019-081N,505.3 km,521.3 km,97.5 &deg,94.7 minutes,6884 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4P 6,Flock,44817,2019-081P,504.8 km,520.5 km,97.5 &deg,94.7 minutes,6883 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
FLOCK 4P 5,Flock,44818,2019-081Q,505.3 km,520.7 km,97.5 &deg,94.7 minutes,6884 km,Unknown,2019,United States (US),SRIHARIKOTA (SRI)
OPS 5111 (NAVSTAR 1),Global Positioning System (GPS) Constellation,10684,1978-020A,"20,198.7 km","20,624.3 km",63.0 &deg,727.0 minutes,26782 km,0.5258 m,1978,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
OPS 5112 (NAVSTAR 2),Global Positioning System (GPS) Constellation,10893,1978-047A,"18,802.2 km","21,389.7 km",64.1 &deg,714.2 minutes,26466 km,0.518 m,1978,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
OPS 5113 (NAVSTAR 3),Global Positioning System (GPS) Constellation,11054,1978-093A,"20,585.0 km","21,078.0 km",64.1 &deg,744.2 minutes,27202 km,0.5283 m,1978,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
OPS 5114 (NAVSTAR 4),Global Positioning System (GPS) Constellation,11141,1978-112A,"20,556.1 km","21,221.2 km",62.7 &deg,746.5 minutes,27259 km,0.4661 m,1978,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
OPS 5117 (NAVSTAR 5),Global Positioning System (GPS) Constellation,11690,1980-011A,"18,934.7 km","21,445.3 km",63.4 &deg,718.0 minutes,26560 km,0.4791 m,1980,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
OPS 5118 (NAVSTAR 6),Global Positioning System (GPS) Constellation,11783,1980-032A,"18,552.8 km","21,321.2 km",63.2 &deg,707.8 minutes,26307 km,0.4006 m,1980,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
OPS 9794 (NAVSTAR 8),Global Positioning System (GPS) Constellation,14189,1983-072A,"20,506.5 km","21,493.6 km",62.3 &deg,751.1 minutes,27371 km,0.4806 m,1983,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
NAVSTAR 9 (USA 1),Global Positioning System (GPS) Constellation,15039,1984-059A,"20,389.0 km","21,500.2 km",62.4 &deg,748.8 minutes,27315 km,0.4653 m,1984,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
NAVSTAR 10 (USA 5),Global Positioning System (GPS) Constellation,15271,1984-097A,"20,550.2 km","21,279.4 km",63.5 &deg,747.6 minutes,27285 km,1.5246 m,1984,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
NAVSTAR 11 (USA 10),Global Positioning System (GPS) Constellation,16129,1985-093A,"20,487.4 km","21,964.7 km",62.8 &deg,760.4 minutes,27597 km,0.4881 m,1985,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
NAVSTAR 13 (USA 35),Global Positioning System (GPS) Constellation,19802,1989-013A,"21,523.1 km","21,729.3 km",54.2 &deg,777.0 minutes,27997 km,1.6189 m,1989,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 14 (USA 38),Global Positioning System (GPS) Constellation,20061,1989-044A,"21,214.2 km","21,337.4 km",55.0 &deg,762.5 minutes,27646 km,2.8485 m,1989,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 15 (USA 42),Global Positioning System (GPS) Constellation,20185,1989-064A,"21,511.6 km","21,587.7 km",54.0 &deg,773.8 minutes,27920 km,1.9952 m,1989,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 16 (USA 47),Global Positioning System (GPS) Constellation,20302,1989-085A,"21,198.6 km","21,242.4 km",54.5 &deg,760.2 minutes,27591 km,1.9976 m,1989,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 17 (USA 49),Global Positioning System (GPS) Constellation,20361,1989-097A,"21,178.8 km","21,311.2 km",54.8 &deg,761.2 minutes,27615 km,2.5118 m,1989,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 18 (USA 50),Global Positioning System (GPS) Constellation,20452,1990-008A,"21,164.2 km","21,243.5 km",54.7 &deg,759.5 minutes,27574 km,1.5533 m,1990,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 19 (USA 54),Global Positioning System (GPS) Constellation,20533,1990-025A,"20,958.8 km","21,170.9 km",55.2 &deg,753.8 minutes,27435 km,0.6015 m,1990,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 20 (USA 63),Global Positioning System (GPS) Constellation,20724,1990-068A,"21,323.8 km","21,556.8 km",53.7 &deg,769.3 minutes,27811 km,2.6756 m,1990,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 21 (USA 64),Global Positioning System (GPS) Constellation,20830,1990-088A,"21,324.1 km","21,444.1 km",54.9 &deg,767.0 minutes,27755 km,2.1514 m,1990,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 22 (USA 66),Global Positioning System (GPS) Constellation,20959,1990-103A,"21,297.0 km","21,392.0 km",54.5 &deg,765.3 minutes,27715 km,2.0119 m,1990,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 23 (USA 71),Global Positioning System (GPS) Constellation,21552,1991-047A,"20,894.9 km","21,078.9 km",55.4 &deg,750.6 minutes,27357 km,3.8853 m,1991,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 24 (USA 79),Global Positioning System (GPS) Constellation,21890,1992-009A,"20,881.6 km","21,097.4 km",54.5 &deg,750.7 minutes,27360 km,4.4212 m,1992,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 25 (USA 80),Global Positioning System (GPS) Constellation,21930,1992-019A,"21,305.2 km","21,481.6 km",55.8 &deg,767.3 minutes,27764 km,2.4978 m,1992,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 26 (USA 83),Global Positioning System (GPS) Constellation,22014,1992-039A,"21,355.2 km","21,381.8 km",55.2 &deg,766.3 minutes,27739 km,2.507 m,1992,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 27 (USA 84),Global Positioning System (GPS) Constellation,22108,1992-058A,"21,367.0 km","21,438.8 km",54.9 &deg,767.7 minutes,27773 km,3.0849 m,1992,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 29 (USA 87),Global Positioning System (GPS) Constellation,22275,1992-089A,"21,183.4 km","21,487.8 km",54.8 &deg,765.0 minutes,27706 km,0.6869 m,1992,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 28 (USA 85),Global Positioning System (GPS) Constellation,22231,1992-079A,"21,165.5 km","21,337.4 km",55.2 &deg,761.5 minutes,27622 km,3.981 m,1992,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 30 (USA 88),Global Positioning System (GPS) Constellation,22446,1993-007A,"21,287.1 km","21,414.1 km",55.0 &deg,765.6 minutes,27721 km,2.5118 m,1993,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 32 (USA 91),Global Positioning System (GPS) Constellation,22657,1993-032A,"21,274.5 km","21,505.0 km",55.1 &deg,767.2 minutes,27760 km,3.1956 m,1993,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 31 (USA 90),Global Positioning System (GPS) Constellation,22581,1993-017A,"21,255.8 km","21,278.7 km",55.2 &deg,762.1 minutes,27638 km,0.9816 m,1993,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 34 (USA 94),Global Positioning System (GPS) Constellation,22779,1993-054A,"21,117.7 km","21,381.0 km",54.6 &deg,761.4 minutes,27620 km,3.9652 m,1993,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 35 (USA 96),Global Positioning System (GPS) Constellation,22877,1993-068A,"21,284.4 km","21,329.1 km",54.9 &deg,763.8 minutes,27677 km,5.2568 m,1993,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 36 (USA 100),Global Positioning System (GPS) Constellation,23027,1994-016A,"21,408.3 km","21,573.5 km",54.9 &deg,771.4 minutes,27861 km,2.0263 m,1994,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 37 (USA 117),Global Positioning System (GPS) Constellation,23833,1996-019A,"20,705.9 km","20,749.3 km",54.5 &deg,739.9 minutes,27098 km,4.1981 m,1996,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 38 (USA 126),Global Positioning System (GPS) Constellation,23953,1996-041A,"21,151.4 km","21,431.8 km",54.3 &deg,763.1 minutes,27662 km,6.3095 m,1996,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
NAVSTAR 39 (USA 128),Global Positioning System (GPS) Constellation,24320,1996-056A,"21,440.4 km","21,576.5 km",55.4 &deg,772.1 minutes,27879 km,3.1858 m,1996,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
